"date,""lead_name"",""business"",""area"",""phone_or_link"",""channel"",""status"",""next_action"",""next_date"",""notes"",""lead_id"""
"2026-03-05,""Abdul Basit Farooq Auto Rep"",""Abdul Basit Farooq Auto Rep"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-basit-farooq-auto-rep-190067"",""UAE0967"""
"2026-03-05,""Abdul Ghani Medical Center"",""Abdul Ghani Medical Center"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-ghani-medical-center-6011"",""UAE0968"""
"2026-03-05,""Abdul Ghani Medical Center"",""Abdul Ghani Medical Center"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-ghani-medical-center-6011"",""UAE0969"""
"2026-03-05,""Abdul Hameed Khouri Aluminium Glass Factory LLC"",""Abdul Hameed Khouri Aluminium Glass Factory LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-hameed-khouri-aluminium-glass-factory-llc-112906"",""UAE0970"""
"2026-03-05,""Abdul Karim Abdulla A/C and Refg Services"",""Abdul Karim Abdulla A/C and Refg Services"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-karim-abdulla-a-c-and-refg-services-120062"",""UAE0971"""
"2026-03-05,""Abdul Mannan Ahmed Auto Paints &amp"
"2026-03-05,""Abdul Mannan Ahmed Auto Paints &amp"
"2026-03-05,""Abdul Rahim M A Al Zarooni General Trading"",""Abdul Rahim M A Al Zarooni General Trading"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-rahim-m-a-al-zarooni-general-trading-105744"",""UAE0974"""
"2026-03-05,""Abdul Rahman Al Bah Building Materials Trading Co LLC"",""Abdul Rahman Al Bah Building Materials Trading Co LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-rahman-al-bah-bldg-mat-trdg-co-llc-151181"",""UAE0975"""
"2026-03-05,""Abdul Rahman Al Bah Building Materials Trading Co LLC"",""Abdul Rahman Al Bah Building Materials Trading Co LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-rahman-al-bah-bldg-mat-trdg-co-llc-151181"",""UAE0976"""
"2026-03-05,""Abdul Rahman Al Bah Building Materials Trading Co LLC"",""Abdul Rahman Al Bah Building Materials Trading Co LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-rahman-al-bah-bldg-mat-trdg-co-llc-151181"",""UAE0977"""
